 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor,PC1,PC2,PC3
11,"Jongno Calling (feat. 이현송, Horan, Jung Woo, 이이언, CRYING NUT, Galaxy Express, Bosudongcooler, 데디오레디오, Romantic Punch, ROCK N ROLL RADIO, Lazybone & YEOJEONG)","Captainrock, 이현송, Horan, Jung Woo, eAeon, CRYING NUT, Galaxy Express, Bosudongcooler, 데디오레디오, Romantic Punch, Rock N Roll Radio, Lazybone, YEOJEONG",126,12B,65,2025-04-30,03:49,11,"k-rock, ska punk","Rock, Reggae",Jongno Calling,2019-06-20,67,87,0,90,0,30,-4,E,4,6JGaDHIagC4sxqizFlluyW,CaptainRock Company,KRMIM1910149,Eunice,-0.08301789868097532,1.1876400085927896,0.0820404898741667
12,Oh Fudge,"Aesop Rock, Blockhead",158,3A,85,2025-05-06,03:02,28,"underground hip hop, experimental hip hop, alternative hip hop, trip hop, downtempo, plunderphonics, nu jazz","Hip Hop, Electronic, Jazz",Garbology,2021-11-12,67,17,0,68,20,0,-5,A#/B♭ minor,4,0TbUn96jyJnHYdDK61TuF2,Rhymesayers,USBWK2100089,Sam,1.4945951549187855,0.4478855931258677,0.8565577838885098
13,Mah Na Mah Na,Mahna Mahna and The Two Snowths,93,9A,44,2025-05-07,02:04,50,,,The Muppets (Original Motion Picture Soundtrack),2011-11-21,76,73,12,59,10,0,-10,E minor,4,4rVrHxLGV2iSN4nJtI9hKh,Walt Disney Records,USWD11158969,Kathryn,-1.975488001179371,1.9085008179118663,0.406191490083435
14,Harpy Hare,Yaelokre,130,10B,53,2025-05-07,03:00,5,,,Harpy Hare,2024-01-04,65,64,0,35,0,20,-12,D,4,35I2E525yJpUQ5ZJgfxizT,Independent,QZWFP2367225,Kathryn,-1.8761795284659273,0.26885420455230197,0.4648039250156092
15,Everytime We Touch - Nightcore & KYANU Edit,"Cascada, KYANU",178,8B,96,2025-05-07,02:28,61,"europop, eurodance, nightcore, hypertechno","Electronic, Pop",Nightcore,2015-09-11,52,1,0,55,10,40,-6,C,4,40aG6sP7TMy3x1J1zGW8su,Zoopreme,DEHK91586911,Kathryn,1.9183545086336589,-1.3347588757318796,1.1808032329214442
16,The Devil Went Down to Georgia,The Charlie Daniels Band,134,8B,63,2025-05-07,03:34,67,"southern rock, outlaw country, classic country, country rock, country","Country, Rock",A Decade Of Hits,1988-08-10,52,16,0,92,0,0,-9,C,4,383Xl5QTigwj3QiA3Qc6S7,Epic/Legacy,USSM17900810,Miller,0.10527003292528656,0.6828926203297235,-1.0709653522841318
17,Stupid for You,Waterparks,118,12A,92,2025-05-07,03:11,55,pop punk,"Pop, Rock",Double Dare,2016-11-03,58,2,0,60,0,20,-3,C♯/D♭ minor,4,1N7Aep1OewK9diaN9WbuuR,Equal Vision Records,US3X51636703,Miller,1.642566630399762,-0.028433334357519432,-0.3778282305162157
18,後悔,Satoko Shibata,102,11B,63,2025-05-07,02:41,34,"japanese indie, shibuya-kei","Pop, Rock, Electronic",愛の休日,2017-05-17,72,47,0,89,0,10,-5,A,4,6Qm1avnZnDVZkDsvKVbcls,IDEAL MUSIC LLC. / P-VINE RECORDS,JPV501700147,Shelbie,0.10028214904116688,1.8374408450166189,-0.6127569717540718
19,Afrique,Count Basie,144,4B,51,2025-05-08,03:06,3,"big band, swing music, jazz, vocal jazz",Jazz,Afrique,1971-01-01,71,59,2,77,0,10,-8,G#/A♭,1,1zAMAi5rFHfdBJmLA1tLdE,Ace Records,GB03A1300762,Shelbie,-0.7184998256177637,1.138920159851234,-0.4046933335182077
20,A Horny Money World ～伝説の夜～,Houshou Marine,145,3B,96,2025-05-12,03:16,54,"j-pop, vocaloid","Pop, Electronic",Ahoy!! キミたちみんなパイレーツ♡,2024-10-16,76,16,0,96,10,30,-2,C♯/D♭,4,6LEtKyIFzzigjaD142Nibx,cover corp.,JPV752409085,Micah,2.5732275406069367,1.016837218240757,0.5056347792618798
21,WINNER！ゴジュウジャー！,Wienners,190,8A,99,2025-05-12,03:31,46,j-rock,Rock,ナンバーワン戦隊ゴジュウジャー 主題歌,2025-03-19,60,2,0,52,10,30,-1,A minor,4,1XMNGyamTbJj6Bv3FQBt3I,"Nippon Columbia Co., Ltd.",JPCO02501140,Micah,2.743568368845169,-1.2227072311847809,0.8035418905885597
22,Graceland Too,Phoebe Bridgers,150,6B,34,2025-05-13,03:56,66,,,Punisher,2020-06-18,45,87,0,35,0,10,-10,A#/B♭,4,1WCjhRs2WBgyeGaybCX2Po,Dead Oceans,USJ5G2020010,TJ,-2.4811609117099214,-0.5997742695054246,0.21468283299004282
23,Spring Into Summer,Lizzy McAlpine,92,10B,57,2025-05-13,04:22,79,,,Older (and Wiser),2024-10-04,52,61,0,23,0,10,-7,D,4,6oCXDaFZYL7sHnowv6pdXb,Indigo Blue/RCA Records,USRC12402627,TJ,-1.526413809113861,-0.02187220973122903,0.1559401062291838
24,Primadonna,MARINA,128,9A,69,2025-05-31,03:41,73,,,Electra Heart (Deluxe),2012-04-27,66,9,0,43,0,0,-3,E minor,4,4sOX1nhpKwFWPvoMMExi3q,Atlantic Records UK,GBFFS1200009,Sarah,0.7271153015697622,0.2433805406334677,-0.6824958227701394
25,Pretty Little Baby,Connie Francis,121,4B,40,2025-05-31,02:22,74,,,Connie Francis Sings Second Hand Love & Other Hits,1962-04-10,78,73,0,63,0,20,-9,G#/A♭,4,5GQPBzoRBDxcAjwSSluQXD,Universal Records,USUM71120288,Sarah,-1.5772177097364701,1.539686970374034,0.24527822369023994
26,Oh Susan,Mark Whalen,90,5B,44,2025-06-01,03:28,47,bedroom pop,Pop,Morning Glory,2018-11-16,78,62,1,61,0,10,-11,D#/E♭,4,3nf9In5KCH6RdorA6J1C8F,Mark Whalen,TCADY1864504,Angel,-1.9028532414574675,2.0086189611886334,-0.05301931932450557
27,5:15 The Angels Have Gone,David Bowie,91,9B,72,2025-06-02,05:01,32,"glam rock, art rock",Rock,Heathen,2002-06-10,62,5,1,36,0,20,-7,G,4,0zYQ0ww5UuoC63uwG10Vlx,Rhino,USRF30200009,Puffy,0.04075711404215396,0.26620114080068796,0.07145754200260786
28,Noid,"Tyler, The Creator",82,3B,78,2025-06-02,04:44,68,,,CHROMAKOPIA,2024-10-28,38,52,0,42,30,40,-6,C♯/D♭,4,1YdtGoSYDvVQKoUqSDXX41,Columbia,USQX92405785,Puffy,0.006111987753623,-0.4401864465237388,3.467595101506586
29,Can't Stop,Red Hot Chili Peppers,91,11B,94,2025-06-03,04:29,87,"funk rock, alternative rock, rock","Rock, R&B",By the Way (Deluxe Edition),2002-07-09,62,2,0,88,0,10,-3,A,4,3ZOEytgrvLwQaqXreDs2Jx,Warner Records,USWB10201694,Miller,1.7866852491292697,1.1514499506859888,-0.9586007379178085
30,undressed,sombr,116,8B,89,2025-06-03,03:02,83,,,undressed,2025-03-21,64,14,0,89,0,0,-4,C,4,4AajxCEwGEsmHmT4H1TwjY,Warner Records,USWB12500737,Miller,1.4426712254694107,1.1139761897584446,-1.2138713213214192
31,Do Me Like That,The Paradox,180,10B,82,2025-09-05,03:31,59,pop punk,"Pop, Rock",Do Me Like That,2025-04-25,48,0,0,47,0,0,-4,D,4,1y6lq1wrAspWEgRJmYb11S,"Hundred Days Records, LLC",USA2P2516813,Jean,1.3670486669468511,-1.265516190778757,-0.8897749478801772
32,The Unknowing,Jfarrari,180,10A,88,2025-06-03,03:17,43,"darkwave, post-punk","Electronic, Rock",Fear of the Unknown,2025-01-24,48,1,68,69,0,10,-6,B minor,4,4SsTGcFqch8KEvS3Ag4QKp,Jfarrari,QZTAT2357388,Jean,0.9014146879568513,-1.7349053578525997,-1.8980083056655561
33,Bubble Pop Electric,"Gwen Stefani, Johnny Vulture",194,3B,98,2025-06-03,03:42,64,,,Love. Angel. Music. Baby.,2004-11-12,57,0,0,35,20,10,-4,C♯/D♭,4,4A2vjMnkAWgPVqwl3Xc7pu,Interscope,USIR10400844,Jean,2.1325271302191684,-1.3833146325982368,1.3180211736879888
34,SPIT IN MY FACE!,ThxSoMch,94,4B,79,2025-06-03,02:27,79,,,SPIT IN MY FACE!,2022-12-20,73,5,2,65,0,10,-7,G#/A♭,4,1N8TTK1Uoy7UvQNUazfUt5,Elektra (NEK),USAT22223103,Jean,0.5608066607153545,1.3074183020579377,-0.5685200215639773
35,idfc,blackbear,145,12A,50,2025-06-07,04:05,75,,,deadroses,2015-02-14,63,61,0,32,0,10,-9,C♯/D♭ minor,4,6y6jbcPG4Yn3Du4moXaenr,Santa Anna,TCACB1407069,Kathryn,-1.466338168539114,-0.0239929220447995,0.11077576619564734
36,Rewrite The Stars,"Zac Efron, Zendaya",125,6B,62,2025-06-07,03:37,75,musicals,"Classical, Easy Listening, Pop",Rewrite The Stars,2017-11-17,68,7,0,28,0,10,-7,A#/B♭,4,630sXRhIcfwr2e4RdNtjKN,Atlantic Records,USAT21704623,Kathryn,-0.1265248912601814,0.09335960218152492,-0.10358094802735243
37,Last Star,James Ivy,101,9B,90,2025-06-08,03:42,0,,,Last Star,2021-08-06,52,1,0,51,0,20,-5,G,4,4i5McfiyWkcmVhV8A9oTbv,FADER Label,US4HB2100339,TJ,1.0570749961073274,-0.17274473766580442,-0.2389319385111565
38,Is There Really No Happiness?,Porter Robinson,98,2B,84,2025-06-08,03:19,37,"edm, electronic",Electronic,SMILE! :D,2024-07-26,61,16,0,63,0,0,-4,F#/G♭,4,3eE6IderHf7lnqOorqiNVK,Mom+Pop,USQE92400089,TJ,0.8391736502329569,0.7746594694325429,-0.9016906188353724
39,I Shot The Sheriff,Bob Marley & The Wailers,97,4B,65,2025-06-09,04:40,60,"reggae, roots reggae",Reggae,Legend - The Best Of Bob Marley And The Wailers,2002-01-01,80,34,0,72,10,0,-9,G#/A♭,4,60e5PcqGmlVFQ0HHgUagCJ,UMC (Universal Music Catalogue),GBAAN7390003,Shelbie,-0.3356839628889833,2.128148457887595,0.21572891821226756
40,Uncle Sam Goddamn,Brother Ali,88,1B,63,2025-06-09,04:57,47,underground hip hop,Hip Hop,The Undisputed Truth,2007-04-10,80,26,0,67,20,10,-6,B,4,06tMxo0sySSq4SkIS3xUsc,Rhymesayers,USBWK0700021,Shelbie,0.27938623533285417,2.0364985006796084,1.4274224103447417
41,Emphasis,Stelvio Cipriani,90,7A,64,2025-06-14,02:57,38,,,Dedicato a una stella,1976-01-01,53,85,94,59,0,0,-13,D minor,4,01AZNeB0xebSftRphNrXBy,Cinevox Record,ITC047702162,Angel,-3.1587330675499574,-0.07883730344436975,-1.8862039477637484
42,El amor de tu vida tiene derecho a encontrar el amor de su vida,Novio,118,10B,62,2025-06-14,03:13,29,latin indie,"Latin, Rock",Tristeza Feliz,2024-07-12,37,3,0,56,0,50,-10,D,4,7tKm7yhzMzpwcRjjvpolaA,NOVIO MUSIC,QZNWW2102034,Angel,-0.13258116981851312,-1.0001859959973223,0.8215200169092498
43,Aishite Aishite Aishite,Ado,115,4B,88,2025-06-17,04:18,71,"j-pop, anime, vocaloid, j-rock","Pop, Rock, Electronic",Ado's Utattemita Album,2023-12-13,57,23,0,25,0,0,-4,G#/A♭,4,4gpvY7b9wHA9G1ZsMDu15b,Universal Music LLC,JPPO02303971,Gabe,0.47877215707888576,-0.3627610849452263,-0.5207069162215116
44,Save My Soul,Big Bad Voodoo Daddy,90,2A,48,2025-06-17,06:34,41,"swing music, big band, electro swing, rockabilly","Jazz, Electronic, Rock",Save My Soul,2003-01-01,61,19,0,47,0,10,-7,D#/E♭ minor,4,2euSu0KhXQg055y2FO45LG,Big Bad Records,USVG20310008,Gabe,-0.7415860244878592,0.770290575341056,-0.18226491631920047
45,Unsweetened Lemonade,Amélie Farren,120,6A,49,2025-06-17,02:24,0,,,Unsweetened Lemonade,2024-01-26,78,26,0,46,0,10,-14,G minor,4,0hjTOj4u1cLwPov4fqevnw,Amélie Farren / TNP,GBLFP2425358,Gabe,-1.577898502743264,1.2279237603190785,-0.001255909359151732
46,YELLOW,Yoh kamiyama,118,6A,72,2025-06-17,02:58,54,"anime, j-pop, japanese indie, j-rock","Pop, Rock",SHIAWASE NA OTONA,2019-04-03,79,1,0,69,0,0,-5,G minor,4,6oLejuhWNQf76ydBbtLrT9,e.w.e,JPZ921902032,Puffy,0.944273248547396,1.433976899529645,-0.9179767414644976
47,overwhelmed,Royal & the Serpent,87,5A,32,2025-06-17,02:39,65,,,Overwhelmed,2020-06-26,80,31,0,46,30,10,-11,C minor,4,5jjZikDrEd0by1o7V3fO4y,P2020,USAT22002973,Gabe,-1.4361121716723981,2.032304877556092,2.820000120967842
48,Dust,Parquet Courts,145,8B,96,2025-06-17,03:57,0,"post-punk, indie rock, garage rock",Rock,Human Performance,2016-04-08,55,33,93,96,0,50,-6,C,4,0bZDQlvx2oS1NiUZZ1aXGu,Rough Trade,GBCVZ1500160,Puffy,0.7151422683768951,-1.109588103585663,-1.2108943283995968
49,Smooth Operator - Single Version,Sade,119,8A,58,2025-06-17,04:18,82,,,The Best of Sade,1994-10-31,73,24,0,96,0,0,-7,A minor,4,1Hv1VTm8zeOeybub15mA2R,Epic,GBBBM8400016,Bryce,0.19901096077366381,1.8868772769730282,-1.0331764928974136
50,Guide My Way (Red Like Roses - Part III),"Casey Lee Williams, Martin Gonzalez",144,6A,68,2025-06-17,05:21,43,,,"RWBY, Vol. 9 (Original Soundtrack from the Rooster Teeth Series)",2023-07-28,26,1,0,27,0,10,-9,G minor,4,2Wn3g3HprkABFfUBONYVyo,Materia Collective,TCAHG2342065,Bryce,-0.28088949032192195,-2.0107233866232876,-0.22691969095211623
51,twilight,Liquid Stella,96,3B,45,2025-06-17,04:06,18,jazz fusion,"Electronic, Jazz, Rock",twilight,2025-06-04,69,53,89,37,0,10,-11,C♯/D♭,4,27z5MHpFUp1QckuRyGQfsh,INSENSE MUSIC WORKS INC.,TCJPH2547280,Angel,-2.8257290220014712,0.02521975829474945,-1.294123368078211
52,Ride the Fire!,"Daisuke Ishiwatari, Naoki Hashimoto",156,6B,81,2025-06-17,03:13,41,japanese vgm,Electronic,Guilty Gear Xrd -Sign- Original Sound Track,2015-03-27,39,0,2,41,0,30,-7,A#/B♭,4,5LOsGqxUaKDwgImAKp2oha,Various Artists,TCJPE1602175,Bryce,0.7922323241391305,-1.7223758793461141,0.13834939312627278
53,Harness Your Hopes - B-side,Pavement,108,10B,57,2025-06-17,03:26,72,"alternative rock, indie","Rock, Pop",Brighten the Corners: Nicene Creedence Ed.,2008-12-09,60,29,4,58,0,10,-8,D,4,4vsoWZcvtvSsE0OiVvDDvX,Matador,USMTD0880519,Sarah,-0.6173511490791723,0.6390327353660492,-0.36749306701503937
54,Your Love Is My Drug,Kesha,120,3B,61,2025-06-17,03:07,76,,,Animal (Expanded Edition),2010-01-01,83,1,0,76,10,0,-4,C♯/D♭,4,6vc2Jq2vaGu8z326kSrw92,RCA Records Label,USRC10900735,Sarah,1.074115346681161,1.8281725469078471,-0.03642467232007499
55,The Name of Heaven,"NAOKI, Arc System Works",76,8B,77,2025-06-17,04:13,36,,,GUILTY GEAR -STRIVE- ORIGINAL SOUND TRACK VOL.1,2021-10-01,45,2,0,35,0,10,-5,C,4,7rNaFhd3uNKB3UDPxrLDEI,ARC SYSTEM WORKS,TCJPP2140753,Bryce,0.2469432279778321,-0.23686875075761407,-0.31493278465986374
56,This Is America,Childish Gambino,120,7B,46,2025-06-17,03:45,67,,,This Is America,2018-05-06,85,12,0,55,10,30,-6,F,4,0b9oOr2ZgvyQu88wzixux9,Wolf+Rothstein/RCA Records,USRC11801773,Bryce,0.18102957744067077,1.353268388260566,1.271692384482024
57,We Don't Care,Kanye West,83,10A,75,2025-06-17,03:59,66,rap,Hip Hop,The College Dropout,2004-02-10,60,1,0,65,10,20,-6,B minor,4,0IW0qaeyxL5Et4UG2MrJKB,Roc-A-Fella,USDJ20400032,Bryce,0.7540937371089503,0.8710417695649753,0.6539406021104485
58,Poison,Bell Biv DeVoe,112,11A,56,2025-06-18,04:21,76,new jack swing,R&B,Poison,1990-01-01,84,0,0,78,20,60,-11,F#/G♭ minor,4,6m59VvDUi0UQsB2eZ9wVbH,Geffen,USMC19031167,Micah,0.4423603993464563,1.5945910109613086,2.8942764974268056
59,Melodies From Heaven,Kirk Franklin & The Family,171,8B,76,2025-06-18,04:34,54,gospel,Christian,Whatcha Lookin' 4,1995-00-00,30,4,0,44,20,90,-10,C,4,2KxluFxumfo23bZqZzGToW,Gospocentric,USGCR0600247,Micah,0.9472995008831054,-2.661459726238347,3.902105964048722
60,Twilight,Electric Light Orchestra,140,8B,70,2025-06-19,03:41,50,"art rock, soft rock",Rock,Time,1981-08-01,31,43,0,20,0,80,-11,C,4,03ZVEpSeeJfROJW65OHgsf,Epic/Legacy,USSM18100550,Clark,-0.8427743519577717,-2.482039748247871,2.2278778779995516
61,The Whole of the Moon - 2004 Remaster,The Waterboys,106,8B,80,2025-06-19,05:02,68,celtic rock,Rock,This Is the Sea (Deluxe Version),1985-09-16,61,12,0,58,0,10,-7,C,4,1LzFh1VZ0FLeUesOFEuhyl,Chrysalis Records,GBAYK0400026,Clark,0.4243156111962795,0.5315820042360735,-0.48304707382040785
62,One Thing Left to Try,MGMT,128,4B,94,2025-06-19,04:20,47,indie,"Pop, Rock",Little Dark Age,2018-02-09,58,1,0,67,0,30,-5,G#/A♭,4,52pWggDlN5mVeX111i06PP,Columbia,USSM11707041,Clark,1.6310178388950596,-0.11834802169185679,-0.12282321041455636
63,Numb,The Airborne Toxic Event,130,9B,93,2025-06-19,04:05,35,,,All At Once,2011-01-01,39,0,3,21,0,10,-5,G,4,05YjOA73Fd1qI7we1aQPYW,Island Records,USUM71101911,Clark,0.8374087340164031,-1.6538127117488874,-0.3607727760597769
64,Raised By Wolves,Voxtrot,151,11B,86,2025-06-19,04:40,20,,,Raised By Wolves,2005-07-25,41,8,0,69,0,20,-5,A,4,6B1lEzgRg652g56nz5TEik,Cult Hero Records,ushm80559015,Clark,1.3354497869799915,-0.9435779377496056,-0.45831896905416936
65,Impressively Average,Brigitte Calls Me Baby,86,7B,93,2025-06-20,03:18,0,,,Impressively Average,2023-10-03,36,1,0,54,0,20,-3,F,4,1sL6n9kMtrlAvPokQKlZGP,ATO Records,QZPLR2221383,Clark,1.2716541546700775,-0.6557920906681438,-0.34915447905917985
66,Unspeakable Things,Kiwi jr.,138,9B,81,2025-06-20,03:29,20,jangle pop,"Pop, Rock",Chopper,2022-08-12,38,0,0,37,0,10,-6,G,4,26ntTyXWuJDow30dEsFTz3,Sub Pop Records,USSUB2150001,Clark,0.6491674640740115,-1.3688460930819302,-0.41649014152571734
67,Ridin' In My Car,NRBQ,153,9B,85,2025-06-20,02:54,35,"power pop, roots rock","Pop, Rock",All Hopped Up (Deluxe),1977-01-01,58,13,0,89,0,0,-8,G,4,6DDUPXlsye5uUvFTgm4Jn1,Omnivore Recordings,QMWHB1811760,Clark,0.990434320158312,0.44898477504811585,-1.1715203594086971
68,Wish You Were Here,Pink Floyd,123,9B,26,2025-06-20,05:38,83,"progressive rock, psychedelic rock, classic rock, art rock, rock",Rock,Wish You Were Here,1975-09-12,48,74,1,38,0,80,-16,G,4,6mFkJmJqdDVQ1REhVfGgd1,Pink Floyd Records,GBN9Y1100088,Sam,-3.0372221593020035,-0.6951560210140131,2.4881823940369254
69,Long Legged Larry,Aesop Rock,85,4A,83,2025-06-20,03:17,40,"underground hip hop, experimental hip hop, alternative hip hop",Hip Hop,Long Legged Larry,2021-03-19,75,4,0,73,30,0,-5,F minor,4,0OX9lzZxKlbtn3c2d97uqz,Rhymesayers,USBWK1900127,Sam,1.3982984533635625,1.9331990900964533,1.7693273640060234
70,Mercury,Steve Lacy,151,8A,75,2025-06-20,04:55,63,,,Gemini Rights,2022-07-15,70,54,1,89,0,30,-6,A minor,3,6uVZddXkgQIArp8myEHs4x,L-M Records/RCA Records,USRC12201526,Theresa,0.5925532870617594,0.8074761529365913,-0.06481371403715994
71,Do It Again,Steely Dan,125,7A,43,2025-06-20,05:57,74,"yacht rock, classic rock","Rock, Pop",Can't Buy A Thrill,1972-11-01,66,34,0,94,0,0,-15,D minor,4,2LXISHBkx8FyoxCBkckh19,Geffen,USMC17347179,Theresa,-1.55056102089473,1.7590222884912137,-0.7776568383539563
72,Volcano,The Presidents Of The United States Of America,151,5B,91,2025-06-24,02:58,0,"grunge, alternative rock",Rock,II,1996-11-05,51,14,0,89,0,10,-5,D#/E♭,4,09JxX9P3dqSl0I3lDGrTie,Columbia,USSM19603286,Sam,1.5833906710180266,-0.03193098680118595,-0.9565239176291229
73,Just What I Needed,The Cars,127,12B,58,2025-06-24,03:45,70,"power pop, new wave, classic rock","Rock, Pop",The Cars,1978-06-06,62,2,0,69,0,0,-9,E,4,4alHo6RGd0D3OUbTPExTHN,Elektra Records,USEE17500009,Sam,-0.0494750430130403,0.7543213683738654,-0.8251903021236705
74,Don't Think Twice,Hikaru Utada,128,6A,67,2025-07-02,04:33,41,"j-pop, j-r&b, anime","Pop, R&B",Face My Fears,2019-01-18,51,64,0,35,0,10,-6,G minor,3,3api9OUOuIpNec9HIfHpcN,NITRON concepts,JPU901803908,Micah,-0.7910469382522018,-0.407716696297143,-0.05946886144250995
75,One On One. (feat. Headband Henny) - Remix,"Micah Dailey-White, Headband Henny",101,11B,70,2025-07-02,03:32,52,,,Micah.,2024-06-18,73,14,0,66,0,10,-5,A,3,3tK8OFi7R6lQBC00KClbZm,Columbia,USSM12404731,Micah,0.557706585953692,1.2991038239945893,-0.5180873084818396
76,Who's Sorry Now,Connie Francis,88,5B,33,2025-07-04,02:16,49,,,Gold,2005-06-14,52,76,0,44,0,30,-6,D#/E♭,4,4bzvhZFlV9UqQ3EmV2i8s4,Universal Records,USF095800910,Kathryn,-1.8872723831084655,0.39702305868379306,0.7066666996039075
77,Nearly Beloved,The Wallflowers,166,9A,80,2025-07-04,04:00,0,,,"Rebel, Sweetheart",2005-01-01,40,0,0,76,0,0,-6,E minor,4,5SLioHAGWMPXGfSJB8t8u5,Interscope,USIR10500667,Miller,1.2162461084773368,-0.8059797394900029,-1.1546447192146763
78,Rock To My Roll,Anarbor,123,5B,81,2025-07-04,02:47,31,pop punk,"Pop, Rock",Burnout (Deluxe Version),2013-06-04,59,32,0,58,0,10,-4,D#/E♭,4,03usyN6eZAubHvEGb62oId,Hopeless Records,USHR21254012,Miller,0.6679407858601147,0.20862209830283135,-0.49373123068796915
79,"It's Been a Long, Long Time",Harry James,75,8B,22,2025-07-04,03:25,59,"big band, swing music, jazz",Jazz,Texas Chatter,2008-10-29,28,95,0,36,0,30,-10,C,4,4rfh0qEv1HdKRXWiRXfzWF,BD Audio Digital,DEEF20810840,Kathryn,-3.38860582101931,-0.39166327562310577,0.937219894958056
80,FINGER,Mother Mother,140,9A,77,2025-07-05,02:59,37,,,FINGER,2025-05-23,73,10,0,75,0,30,-6,E minor,4,0NPkaQcG0lTv1KBtlgpMFy,WM Canada,CAW112500020,Hannah,1.1615361752624345,0.6728516356209521,-0.05127079237095025
81,Drinka Little Poison (4 U Die),"The Soul Rebels, John Mooney",113,12B,90,2025-07-06,02:59,26,"brass band, new orleans bounce, cajun, country blues, ragtime","Classical, Traditional Music, Blues, Country, Jazz","Treme: Music From The HBO Original Series, Season 1",2010-09-28,50,59,0,64,20,60,-6,E,4,7acANHrTtsfKNQIwK12LUX,Interscope,USKAG1010005,Shelbie,0.7195709163635167,-0.2731579989702384,2.9168993056663393
82,Nausea,Jeff Rosenstock,135,8B,75,2025-07-06,02:44,0,"folk punk, indie punk, power pop","Folk, Rock, Pop",We Cool?,2015-03-03,45,38,0,53,0,30,-6,C,4,0wn7AelIhpkAaO5lU1CEZ9,SideOneDummy Records,USA6G1455604,Shelbie,0.20114519524115101,-0.7768270831800471,0.22386658111008426
83,Give and Take,Poor Man's Poison,95,9B,60,2025-07-06,03:17,62,southern gothic,,In the End,2021-08-27,67,64,0,82,0,20,-8,G,4,4pZos1A9cAsvHx5kj1O38W,Poor Man's Poison,TCAFS2128196,Gabe,-0.7933832679786792,1.6121475776679817,-0.10090584394298321
84,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,166,1A,99,2025-07-06,03:25,70,"emo, pop punk","Rock, Pop",Danger Days: The True Lives of the Fabulous Killjoys,2010-11-19,41,0,0,65,0,30,-3,G#/A♭ minor,4,5BB0Jzw60KyfSTyjJqtely,Reprise,USRE11000909,Gabe,2.2175514728802375,-1.4896057609749134,-0.24413344822160213
85,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",160,10B,86,2025-07-06,02:56,89,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,60,1,0,61,10,30,-3,D,4,3RXUgPNIbUgFxsDWuBQEt6,K-Pop Demon Hunters,QZ8BZ2513508,Theresa,2.0311966398501125,-0.514068777628923,0.8301365182480872
86,4X4,Travis Scott,143,11A,85,2025-07-06,03:10,73,rap,Hip Hop,4X4,2025-01-24,63,4,0,22,0,70,-3,F#/G♭ minor,4,6s8WSX1MxNThrot8ThI6fG,Cactus Jack / Epic,USSM12410202,Theresa,1.5226954289536203,-1.3899716136486864,1.6107513291676516
87,untitled 08 | 09.06.2014.,Kendrick Lamar,120,10A,52,2025-07-06,03:55,66,"hip hop, west coast hip hop",Hip Hop,untitled unmastered.,2016-03-04,85,25,0,69,20,10,-9,B minor,4,5bBUDJUfGcG7eFy3Bf4fXv,Aftermath,USUM71601679,Theresa,-0.15332746616060394,1.9758929644485232,1.4936694096527738
88,I Love You Like An Alcoholic,The Taxpayers,108,9A,42,2025-07-07,03:35,0,"folk punk, anti-folk","Folk, Rock"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E minor,4,7u63zva845rv8tRFi9FG8a,Asian Man Records,US4ZV1200087,Puffy,-1.2385907581255626,0.1040875784574399,0.15114121211687198
89,Cat's in the Cradle,Harry Chapin,78,6B,58,2025-07-07,03:42,67,singer-songwriter,Folk,Verities & Balderdash,1974-00-00,49,23,0,51,0,10,-10,A#/B♭,4,2obblQ6tcePeOEVJV6nEGD,Rhino/Elektra,USEE10180356,Puffy,-1.1013807007812968,0.5084584838082155,-0.21706469179223292
90,Probably Up,Lawrence,95,6B,61,2025-07-10,04:14,29,"pop soul, retro soul, christmas","Pop, R&B",Living Room,2018-09-14,74,34,0,70,0,30,-6,A#/B♭,4,13HalBseZHAT19C6jWs1Ma,Same Wavelength LLC,QM24S1832373,TJ,-0.008096033537284313,1.4248695796071242,0.2040396559823647
91,Fall Into Place,Couch,140,4B,45,2025-07-10,04:27,50,"pop soul, jazz pop, funk pop, retro pop","Pop, R&B, Jazz",Fall Into Place,2020-04-17,72,29,0,69,0,0,-6,G#/A♭,4,1KM8IlK6OutsP0dBVFgtP2,Couch Productions LLC,QZDA62016580,TJ,-0.2387506163862061,1.1152763177484168,-0.7131586835085442
92,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,138,6A,29,2025-07-25,13:32,72,"progressive rock, psychedelic rock, classic rock, art rock, rock",Rock,Wish You Were Here,1975-09-12,26,77,69,4,0,10,-12,G minor,3,6pnwfWyaWjQiHCKTiZLItr,Pink Floyd Records,GBN9Y1100085,Sam,-3.921358114205138,-2.6019482840940062,-0.5911923342028091
